,school_name,school_code,f_teacher_count,m_teacher_count,year,percent_male
850,Lincoln - Hanscom Middle,1570305,22.5,4.0,9.0,0.1509433962264151
852,Lincoln - Lincoln School,1570025,50.5,10.0,9.0,0.1652892561983471
853,Lincoln-Sudbury - Lincoln-Sudbury Reg High,6950505,66.0,45.3,9.0,0.40700808625336926
854,Littleton - Littleton High School,1580505,18.4,6.8,9.0,0.2698412698412698
855,Littleton - Littleton Middle School,1580305,17.5,6.8,9.0,0.27983539094650206
856,Littleton - Russell St Elementary,1580015,19.4,1.2,9.0,0.05825242718446602
858,Longmeadow - Blueberry Hill,1590005,27.6,1.1,9.0,0.03832752613240418
859,Longmeadow - Center,1590010,26.2,1.6,9.0,0.05755395683453238
860,Longmeadow - Glenbrook Middle,1590017,28.2,3.5,9.0,0.11041009463722398
861,Longmeadow - Longmeadow High,1590505,42.2,28.6,9.0,0.40395480225988695
862,Longmeadow - Williams Middle,1590305,21.9,4.5,9.0,0.17045454545454547
863,Longmeadow - Wolf Swamp Road,1590025,26.5,2.3,9.0,0.0798611111111111
879,Lowell - Lowell High,1600505,140.0,97.0,9.0,0.4092827004219409
891,Ludlow - Ludlow Senior High,1610505,39.6,29.4,9.0,0.4260869565217391
894,Lunenburg - Lunenburg High,1620505,21.9,17.3,9.0,0.44132653061224486
897,Lunenburg - Turkey Hill Middle,1620020,18.7,6.0,9.0,0.24291497975708504
903,Lynn - Classical High,1630505,41.2,37.6,9.0,0.4771573604060913
912,Lynn - Lynn English High,1630510,53.3,44.1,9.0,0.4527720739219712
922,Lynnfield - Huckleberry Hill,1640010,20.8,0.0,9.0,0.0
923,Lynnfield - Lynnfield High,1640505,26.2,18.2,9.0,0.4099099099099099
924,Lynnfield - Lynnfield Middle School,1640405,31.0,9.0,9.0,0.225
926,Lynnfield - Summer Street,1640020,24.4,3.0,9.0,0.10948905109489052
934,Malden - Malden High,1650505,73.1,43.2,9.0,0.3714531384350817
936,Manchester Essex Regional - Essex Elementary,6980020,17.7,5.0,9.0,0.22026431718061676
937,Manchester Essex Regional - Manchester Essex Regional High School,6980510,15.7,20.5,9.0,0.5662983425414364
938,Manchester Essex Regional - Manchester Essex Regional Middle School,6980030,8.1,4.5,9.0,0.35714285714285715
939,Manchester Essex Regional - Manchester Memorial Elementary,6980010,27.8,3.3,9.0,0.10610932475884244
943,Mansfield - Mansfield High,1670505,53.8,30.7,9.0,0.3633136094674556
950,Marblehead - Marblehead High,1680505,38.2,32.7,9.0,0.461212976022567
953,Marblehead Community Charter Public (District) - Marblehead Community Charter Public School,4640305,13.3,2.5,9.0,0.1582278481012658
958,Marlborough - Marlborough High,1700505,73.6,54.2,9.0,0.4241001564945227
961,Marshfield - Daniel Webster,1710015,22.1,3.2,9.0,0.12648221343873517
962,Marshfield - Eames Way School,1710005,21.4,1.0,9.0,0.044642857142857144
963,Marshfield - Furnace Brook Middle,1710310,50.6,15.2,9.0,0.23100303951367782
964,Marshfield - Gov Edward Winslow,1710020,26.1,3.0,9.0,0.10309278350515463
